payment_id,order_id,payment_date
4001,3001,2004-01-01
4002,3002,2004-01-24
4003,3003,2004-02-16
4004,3004,2004-03-10
4005,3005,2004-04-02
4006,3006,2004-04-25
4007,3007,2004-05-18
4008,3008,2004-06-10
4009,3009,2004-07-03
4010,3010,2004-07-26
4011,3011,2004-08-18
4012,3012,2004-09-10
4013,3013,2004-10-03
4014,3014,2004-10-26
4015,3015,2004-11-18
4016,3016,2004-12-11
4017,3017,2005-01-03
4018,3018,2005-01-26
4019,3019,2005-02-18
4020,3020,2005-03-13
4021,3021,2005-04-05
4022,3022,2005-04-28
4023,3023,2005-05-21
4024,3024,2005-06-13
4025,3025,2005-07-06
4026,3026,2005-07-29
4027,3027,2005-08-21
4028,3028,2005-09-13
4029,3029,2005-10-06
4030,3030,2005-10-29
4031,3031,2005-11-21
4032,3032,2005-12-14
4033,3033,2006-01-06
4034,3034,2006-01-29
4035,3035,2006-02-21
4036,3036,2006-03-16
4037,3037,2006-04-08
4038,3038,2006-05-01
4039,3039,2006-05-24
4040,3040,2006-06-16
4041,3041,2006-07-09
4042,3042,2006-08-01
4043,3043,2006-08-24
4044,3044,2006-09-16
4045,3045,2006-10-09
4046,3046,2006-11-01
4047,3047,2006-11-24
4048,3048,2006-12-17
4049,3049,2007-01-09
4050,3050,2007-02-01
4051,3051,2007-02-24
4052,3052,2007-03-19
4053,3053,2007-04-11
4054,3054,2007-05-04
4055,3055,2007-05-27
4056,3056,2007-06-19
4057,3057,2007-07-12
4058,3058,2007-08-04
4059,3059,2007-08-27
4060,3060,2007-09-19
4061,3061,2007-10-12
4062,3062,2007-11-04
4063,3063,2007-11-27
4064,3064,2007-12-20
4065,3065,2008-01-12
4066,3066,2008-02-04
4067,3067,2008-02-27
4068,3068,2008-03-21
4069,3069,2008-04-13
4070,3070,2008-05-06
4071,3071,2008-05-29
4072,3072,2008-06-21
4073,3073,2008-07-14
4074,3074,2008-08-06
4075,3075,2008-08-29
4076,3076,2008-09-21
4077,3077,2008-10-14
4078,3078,2008-11-06
4079,3079,2008-11-29
4080,3080,2008-12-22
4081,3081,2009-01-14
4082,3082,2009-02-06
4083,3083,2009-03-01
4084,3084,2009-03-24
4085,3085,2009-04-16
4086,3086,2009-05-09
4087,3087,2009-06-01
4088,3088,2009-06-24
4089,3089,2009-07-17
4090,3090,2009-08-09
4091,3091,2009-09-01
4092,3092,2009-09-24
4093,3093,2009-10-17
4094,3094,2009-11-09
4095,3095,2009-12-02
4096,3096,2009-12-25
4097,3097,2010-01-17
4098,3098,2010-02-09
4099,3099,2010-03-04
4100,3100,2010-03-27
4101,3101,2010-04-19
4102,3102,2010-05-12
